0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
91.04761904761904,87.23809523809524,93.14285714285714,97.14285714285714,78.76190476190476,96.63865546218487,85.23809523809524,97.97979797979798,95.12735326688815,88.09523809523809,85.12869399428027,75.90476190476191,75.14285714285714,86.66666666666667,72.47619047619047,96.95044472681067,69.42857142857143,69.14285714285714,0.0,82.47619047619048,91.49159663865547,92.57142857142857,93.71428571428572,96.1038961038961,92.67399267399267,96.71957671957672
94.0,92.0952380952381,94.85714285714286,97.92207792207792,85.80952380952381,96.35854341736695,89.42857142857143,97.25829725829726,96.3455149501661,91.80952380952381,87.7025738798856,80.19047619047619,79.9047619047619,90.47619047619048,79.23809523809524,97.96696315120712,72.57142857142857,71.23809523809524,0.0,84.85714285714285,92.12184873949579,91.71428571428571,94.85714285714286,95.91836734693877,92.3076923076923,97.88359788359789
96.0952380952381,95.04761904761905,96.95238095238096,98.31168831168831,91.71428571428571,96.35854341736695,93.04761904761905,98.55699855699855,97.89590254706533,95.14285714285714,92.46901811248809,88.09523809523809,86.57142857142858,93.61904761904762,85.23809523809524,99.23761118170266,78.95238095238095,79.9047619047619,0.0,87.61904761904762,95.48319327731093,95.14285714285714,97.23809523809524,97.95918367346938,95.97069597069597,97.24867724867725
96.38095238095238,96.85714285714285,97.42857142857143,99.35064935064936,95.23809523809523,96.9187675070028,96.0952380952381,99.42279942279943,98.00664451827242,96.95238095238096,94.37559580552907,90.38095238095238,90.57142857142857,95.52380952380952,87.42857142857143,99.23761118170266,84.66666666666667,84.38095238095238,0.0,90.66666666666666,97.47899159663865,97.52380952380952,98.38095238095238,98.33024118738405,97.8021978021978,99.04761904761905
97.42857142857143,97.42857142857143,98.28571428571429,99.48051948051948,97.04761904761905,98.8795518207283,97.14285714285714,99.13419913419914,99.33554817275747,98.38095238095238,97.14013346043852,93.23809523809524,92.76190476190476,97.04761904761905,92.38095238095238,99.61880559085134,87.23809523809524,86.57142857142858,0.0,92.47619047619048,97.37394957983193,97.90476190476191,98.47619047619047,98.42300556586271,97.8021978021978,99.36507936507937
98.09523809523809,97.52380952380952,98.28571428571429,99.74025974025975,96.95238095238096,98.0392156862745,98.47619047619047,99.42279942279943,99.44629014396456,97.80952380952381,97.14013346043852,95.80952380952381,94.19047619047619,97.42857142857143,93.33333333333333,99.49174078780177,88.57142857142857,90.0952380952381,0.0,92.0,98.94957983193278,98.66666666666667,98.76190476190476,98.14471243042672,98.9010989010989,99.47089947089947
99.14285714285714,98.28571428571429,98.57142857142858,99.48051948051948,98.0,99.15966386554622,97.23809523809524,99.42279942279943,100.0,98.47619047619047,97.14013346043852,95.04761904761905,96.47619047619047,97.90476190476191,93.9047619047619,99.11054637865311,91.42857142857143,91.71428571428571,0.0,94.66666666666667,98.6344537815126,98.0,99.23809523809524,99.16512059369202,98.53479853479854,98.94179894179894
99.04761904761905,99.04761904761905,99.23809523809524,99.35064935064936,97.80952380952381,99.71988795518207,98.47619047619047,99.42279942279943,99.44629014396456,99.04761904761905,97.80743565300286,96.85714285714285,96.76190476190476,98.95238095238095,96.66666666666667,99.74587039390089,93.9047619047619,94.38095238095238,0.0,95.42857142857143,98.52941176470588,98.76190476190476,98.85714285714286,99.53617810760667,98.9010989010989,99.47089947089947
99.71428571428571,99.14285714285714,99.14285714285714,100.0,98.95238095238095,98.8795518207283,99.42857142857143,99.71139971139971,99.77851605758582,99.23809523809524,99.14204003813155,98.19047619047619,98.19047619047619,99.33333333333333,97.52380952380952,99.74587039390089,94.95238095238095,95.33333333333334,0.0,96.0952380952381,98.94957983193278,99.71428571428571,99.14285714285714,99.35064935064936,98.53479853479854,99.7883597883598
99.42857142857143,99.04761904761905,99.14285714285714,99.87012987012987,99.23809523809524,99.15966386554622,99.33333333333333,99.85569985569985,99.66777408637874,99.80952380952381,99.0467111534795,98.76190476190476,97.90476190476191,99.14285714285714,97.52380952380952,99.74587039390089,96.76190476190476,96.38095238095238,0.0,97.42857142857143,99.47478991596638,99.61904761904762,99.42857142857143,99.90723562152134,99.26739926739927,99.89417989417989
99.80952380952381,99.23809523809524,99.61904761904762,99.87012987012987,98.76190476190476,99.15966386554622,99.52380952380952,99.85569985569985,99.77851605758582,99.80952380952381,99.33269780743565,98.76190476190476,98.85714285714286,98.95238095238095,98.19047619047619,100.0,97.04761904761905,97.80952380952381,0.0,98.47619047619047,99.26470588235294,99.23809523809524,99.52380952380952,99.81447124304268,98.16849816849816,99.89417989417989
99.61904761904762,99.80952380952381,99.52380952380952,100.0,99.23809523809524,99.43977591036415,99.61904761904762,99.85569985569985,99.77851605758582,99.52380952380952,99.33269780743565,99.23809523809524,99.14285714285714,99.61904761904762,98.85714285714286,99.87293519695044,97.42857142857143,97.90476190476191,0.0,96.66666666666667,99.68487394957984,99.42857142857143,99.90476190476191,99.72170686456401,98.16849816849816,99.68253968253968
99.80952380952381,99.61904761904762,99.61904761904762,100.0,99.23809523809524,100.0,99.61904761904762,99.85569985569985,100.0,99.71428571428571,99.61868446139181,99.52380952380952,99.42857142857143,99.80952380952381,99.14285714285714,100.0,98.66666666666667,99.23809523809524,0.0,98.95238095238095,99.89495798319328,99.52380952380952,99.90476190476191,100.0,98.9010989010989,100.0
99.52380952380952,99.33333333333333,99.90476190476191,99.87012987012987,99.33333333333333,98.8795518207283,99.52380952380952,100.0,99.88925802879291,99.90476190476191,99.90467111534795,99.04761904761905,99.23809523809524,99.71428571428571,99.33333333333333,100.0,98.85714285714286,99.14285714285714,0.0,98.47619047619047,99.78991596638656,99.80952380952381,99.52380952380952,100.0,98.9010989010989,99.89417989417989
